item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status	Minimum order quantity	Sell remainder
Makita DHR242 18v Brushless SDS+ Rotary Hammer Drill with 2 x 6.0Ah Batteries		1030F79UCJ7	07-5ZYG-K6JQ	350	10	30/10/2025 16:03:08 GMT		y	1			11				B07MF2LZFV						B07MF2LZFV			0	DEFAULT	ITF NEXT DAY (ORDER BEFORE 2PM)	Active		
4x Bond It White WP70 Neutral Cure Silicone Sealant for External Wood, Aluminium and uPVC Door and Window Frames		1021F7EDFJM	0J-K8D2-VGHN	14.25	10	21/10/2025 12:56:07 BST		y	1			11				B00HUVZI0Y						B00HUVZI0Y			0	DEFAULT	ITF NEXT DAY (ORDER BEFORE 2PM)	Active		
2 x EVO-STIK Stick Like All Weather Adhesive - Clear 290ml		1002FR6DW85	1I-72LF-I73K	15.84	10	02/10/2025 08:39:47 BST		y	1			11				B0DB1Z6SDD						B0DB1Z6SDD			0	DEFAULT	ITF NEXT DAY (ORDER BEFORE 2PM)	Active		
12x Bond It Transparent WP70 Neutral Cure Silicone Sealant for External Wood, Aluminium and uPVC Door and Window Frames		1021F7IWQVH	27-E3OJ-5B7M	33.84	10	21/10/2025 12:53:00 BST		y	1			11				B00HUVZ8TA						B00HUVZ8TA			0	DEFAULT	ITF NEXT DAY (ORDER BEFORE 2PM)	Active		
Makita Genuine BL1850 18V 5.0Ah Li-Ion LXT Battery Pack of 2		1204FL8RNB7	2xMAKBL1850	139.99	10	04/12/2025 18:44:40 GMT		y	1			11				B0759N5QCR						B0759N5QCR			0	DEFAULT	ITF NEXT DAY (ORDER BEFORE 2PM)	Active		
Talon Brown 7-8mm Wall Rawl Plugs Plastic Fixing Plug Euro Slot X1000 Trade Pack		1015FPXR1VN	3D-MGYN-ZLIF	11.83	7	15/10/2025 09:33:11 BST		y	1			11				B07PF9FJ9L						B07PF9FJ9L			0	DEFAULT	ITF NEXT DAY (ORDER BEFORE 2PM)	Active		
Makita DHR202 18V Li-Ion SDS+ Hammer Drill with 1 x 5.0Ah BL1850 Battery		1031FB6A49F	5F-DFXD-VFK5	199.99	10	31/10/2025 15:18:39 GMT		y	1			11				B01MDPDBIX						B01MDPDBIX			0	DEFAULT	ITF NEXT DAY (ORDER BEFORE 2PM)	Active		
12 x BOSTIK Evo-Stik Sticks Like Sh*t Grab Adhesive All weatyher Glue White		1002FR3JCGW	86-PF7W-QIUH	65	10	02/10/2025 08:12:44 BST		y	1			11				B07NQVYL3V						B07NQVYL3V			0	DEFAULT	ITF NEXT DAY (ORDER BEFORE 2PM)	Active		
12x Bond It White WP70 Neutral Cure Silicone Sealant for External Wood, Aluminium and uPVC Door and Window Frames		1021F7B69PB	AM-CBC9-81UH	36.35	10	21/10/2025 12:53:44 BST		y	1			11				B00HUVZ5JI						B00HUVZ5JI			0	DEFAULT	ITF NEXT DAY (ORDER BEFORE 2PM)	Active		
Makita CJ106DZXL Heated Jacket, 12 V		0814FNA41C0	CJ106JZ	77.99	10	14/08/2025 08:24:45 BST		y	1			11				B07N6PHKHT						B07N6PHKHT			0	DEFAULT	ITF NEXT DAY (ORDER BEFORE 2PM)	Active		
